Date,ID1,ID2, N lbs per acre ,P2O5 lbs per acre,K2O lbs per acre,Nutrient value per acre $,NO3-N Only lbs per acre 70%,Additional N lbs per acre,$ nitrogen saved  per acre, 1-day CO2-C,Organic C,Organic N,Organic C:N,Soil Health Calculation,Cover crop mix,Total Nitrogen lbs\acre,Inorganic N,Organic N,Total Phosphate  lbs/acre,Inorganic P,Organic P,Al ppm,Fe ppm,Ca ppm,Organic N release,Organic N reserve ,Organic P release,Organic P reserve,% P sat,Ca/AlFe,SHC,Nitrogen Saved $,pH,buffer pH,Lime,NO3,Fe,Mn,Zn,Cu,P,K,Ca,Mg,S,Na,EC,Total Biomass,Diversity Index,Bacteria %,Total Bacteria Biomass,Actinomycetes %,Actinomycetes Biomass,Gram (-) %,Gram (-) Biomass,Rhizobia %,Rhizobia Biomass,Total Fungi %,Total Fungi Biomass,Arbusular Mycorrhizal %,Arbuscular Mycorrhizal Biomass,Saprophytic %,Saprophytes Biomass,Protozoan %,Protozoa Biomass,Gram (+) Biomass,Gram (+) %,Undifferentiated %,Undifferentiated Biomass,Fungi:Bacteria,Predator:Prey,Gram(+):Gram(-),Sat:Unsat,Mono:Poly,Pre 16:1w7c:cy17:0,Pre 18:1w7c:cy19:0
6Spr19,7,Pasture,75.98794758,1056.102893,173.607312,830.4297634,23.07959366,52.90835392,37.03584775,126.2078171,213.6162262,26.16222,8.165064812,17.40586472,30% Legume 70% Grass,85.8792038,33.55476379,52.32444,1056.102893,880.0857208,176.0171722,114.9067459,222.6673737,862.7216187,52.32444,0,176.0171722,-1.14E-13,136.0220337,2.555650949,17.40586472,37.0358,6.83,,0,5,54,9.3,19.132,13.282,640,235,1787,281,11,109,125,4105.96,1.503,47.64,1956.22,7.65,313.94,18.56,762.18,0,0,11.72,481.16,4.8,197.18,6.92,283.98,0.85,34.97,1194.04,29.08,39.79,1633.61,0.246,0.0179,1.5666,1.6945,10.2608,ALL PRE 16:1,20.474
6Spr19,8,Loblolly,9.092695773,19.31951848,18.16205292,23.51745977,1.098770559,7.993925214,5.59574765,8.503054619,109.990715,12.73002815,8.640256882,4.323122501,60% Legume 40% Grass,27.15068817,1.690632582,25.46005559,31.46947556,15.07183304,16.39764252,81.67271423,40.87275314,93.92327881,7.872964859,17.58709145,3.802958882,12.59468364,11.16514587,0.76643616,4.323122501,5.5957,5.5,7.49,1.03,1,86,11.3,0.957,0.079,61,37,357,47,4,82,18,1462.67,1.109,33.93,496.28,6.78,99.11,7.7,112.63,0,0,1.46,21.39,0,0,1.46,21.39,0,0,383.65,26.23,64.61,944.99,0.0431,ALL PREY,3.4063,6.8942,36.9451,NONE FOUND,ALL PRE 18:1
7Sum19,1,Crop,34.4444459,4.489567457,77.54755554,44.06212002,8.236152458,26.20829344,18.34580541,17.10569191,88.31771851,3.596925735,24.55366707,3.836616039,60% Legume 40% Grass,39.59475327,32.40090179,7.193851471,4.826582932,4.022152627,0.804430306,241.865921,118.5339661,73.95471191,5.573323727,1.620527744,0.467414831,0.337015475,0.582273841,0.20520182,3.836616039,18.3458,5.24,,,1,38.5,27.3,0.627,0.473,18.7,112,249,40.5,9.59,83,59.5,1048.75,1.112,21.88,229.51,3.39,35.6,6.35,66.56,0,0,1,10.49,0,0,1,10.49,0,0,162.96,15.54,77.12,808.75,0.0457,ALL PREY,2.4484,9.089,12.5949,NONE FOUND,ALL PRE 18:1
7Sum19,2,Overgrown,73.72370882,4.26490705,44.33862305,47.99343653,30.98654099,42.73716784,29.91601748,364.1416321,279.1103516,20.30594444,13.74525356,30.3716526,20% Legume 80% Grass,87.00365448,46.39176559,40.61188889,4.26490705,3.554089117,0.710817933,55.5437088,24.94824219,1111.605591,40.61188889,0,0.710817933,0,2.303717852,13.81014633,30.3716526,29.916,7.3,,,7,35.7,7.37,1.56,0.285,11.8,66.2,3600,207,7.69,82.5,148,7761.1,1.507,47.16,3660.18,10.06,780.7,17.57,1363.35,0,0,10.73,832.53,4.4,341.71,6.32,490.83,0.49,38.04,2296.82,29.59,41.62,3230.35,0.2275,0.0104,1.6847,1.8311,17.2208,9.2237,3.3456
7Sum19,3,Bottom,45.76284647,11.7341136,52.15419159,44.77298516,9.99215126,35.77069521,25.03948665,172.2698212,287.9877014,16.56044769,17.39009094,21.77161789,20% Legume 80% Grass,50.04519653,16.92430115,33.12089539,11.7341136,9.778428364,1.955685234,149.0361481,425.8038635,76.527771,33.12089539,0,1.955685234,-2.22E-16,0.887514532,0.133128822,21.77161789,25.0395,4.6,,,5,432,17.1,4.33,0.807,19.8,68.6,328,178,20.8,89.3,93.7,6962.93,1.447,45.82,3190.52,9.96,693.35,13.01,905.84,0,0,8.81,613.67,1.7,118.27,7.11,495.4,0.84,58.68,2284.68,32.81,44.52,3100.07,0.1923,0.0184,2.5222,2.1988,12.0539,ALL PRE 16:1,3.2951
7Sum19,4,Longleaf,30.03236904,0.112365641,28.18324356,21.95573881,0.429311895,29.60305715,20.72214,119.0184708,192.3774414,13.6392231,14.10472107,15.12967682,30% Legume 70% Grass,30.21636009,2.937913656,27.27844644,0.112365641,0.093638035,0.018727607,133.7176208,96.02879333,323.0797119,27.2784462,0,0.018727607,1.39E-17,0.021264587,1.406244874,15.12967682,20.7221,5.71,,,1,109,4.81,1.29,0.199,6.69,45.7,927,104,5.17,74.3,36.6,2740.36,1.287,41.76,1144.39,8.45,231.49,11.06,302.97,0,0,4.51,123.66,1.16,31.86,3.35,91.8,0,0,841.42,30.7,53.73,1472.32,0.1081,ALL PREY,2.7772,4.0052,17.421,NONE FOUND,8.2202
7Sum19,5,Switch,27.20033755,1.011688182,41.16402283,25.99572474,7.130378151,20.0699594,14.04897158,42.29763794,112.5463943,8.876817703,12.6786871,7.368373394,50% Legume 50% Grass,30.25621414,12.50257874,17.75363541,1.011688182,0.843073496,0.168614686,120.2558594,41.51138687,162.4568787,17.75363541,0,0.168614686,0,0.271911919,1.004263163,7.368373394,14.049,5.66,,,1,27.4,3.64,0.52,0.138,6.2,52.9,470,61.1,4.17,72.6,39.2,2541.74,1.375,46.24,1175.27,9.13,231.97,13.53,343.81,0,0,6.92,176.01,2.3,58.45,4.63,117.57,0.15,3.9,831.46,32.71,46.68,1186.56,0.1498,0.0033,2.4184,3.0208,13.7718,ALL PRE 16:1,10.7259
7Sum19,6,Burned,20.54654238,0.886422393,24.00375137,17.24042561,1.412165499,19.13437688,13.39406382,89.29375458,104.9092484,8.638361931,12.14457703,11.89139652,40% Legume 60% Grass,21.15175629,3.875032425,17.27672386,0.886422393,0.738685316,0.147737077,90.9017334,71.59892273,160.6821594,17.27672386,0,0.147737077,0,0.237168908,0.988809288,11.89139652,13.3941,5.6,,,1,148,3.31,0.521,0.12,4.31,41.4,388,68.5,3.84,76.7,29.7,4715.76,1.515,39.76,1875.01,8.09,381.32,11.99,565.35,0,0,12.76,601.68,2.97,139.96,9.79,461.72,0.62,29.14,1309.66,27.77,46.86,2209.93,0.3209,0.0155,2.3165,2.3655,8.5908,3.6601,1.3076
7Sum19,7,Pasture,106.0161873,1423.882495,182.2039307,1102.895597,66.07643356,39.93975377,27.95782764,155.6374817,183.2600098,18.89287567,9.699953079,18.52427864,10% Legume 90% Grass,134.3346558,96.54890442,37.78575134,1423.882495,1186.568793,237.3137024,128.3647003,222.908844,870.7445068,37.78575134,0,237.3137024,-2.84E-14,176.2385406,2.478821754,18.52427864,27.9578,6.41,,,24,45.3,8.34,25.3,20.5,733,262,1780,220,16.1,109,269,5079.54,1.428,51.35,2608.52,10.21,518.79,14.58,740.83,0,0,9.93,504.19,4.44,225.5,5.49,278.69,0.23,11.61,1867.69,36.77,38.49,1955.23,0.1933,0.0044,2.5211,2.2879,13.3957,ALL PRE 16:1,9.0352
7Sum19,8,Loblolly,33.50378902,37.17171535,16.24712677,45.10821073,15.27204247,18.23174655,12.76222259,28.02294922,82.13825989,8.195235252,10.02268505,5.264583588,50% Legume 50% Grass,40.0489502,23.65847969,16.3904705,37.17171535,23.22933846,13.9423769,82.59568024,42.5580864,113.8569412,16.3904705,0,13.9423769,-1.78E-15,12.91340733,0.909736454,5.264583588,12.7622,5.2,,,5,31.3,6.24,1.88,0.133,45.8,27.7,261,40.6,3.83,69.3,49.5,3485.78,1.272,40.19,1400.82,6.72,234.12,11.06,385.41,0,0,3.98,138.56,0.88,30.65,3.1,107.91,0.27,9.58,1015.4,29.13,55.56,1936.82,0.0989,0.0068,2.6346,3.9501,11.6569,NONE FOUND,8.4575
8Fal19,1,Crop,24.96832438,23.24452591,29.41176453,36.55261547,9.323788834,15.64453554,10.95117488,62.86220551,155.9141235,5.619448662,27.74544907,9.96644783,60% Legume 40% Grass,28.9642334,17.72533607,11.23889732,23.24452591,10.34471817,12.89980774,22.00564766,5.611147881,72.05250549,11.23889732,0,12.89980774,-1.78E-15,36.59481812,2.609010458,9.96644783,10.9512,5.4,,,6,,,,,25.4,134,290,62.4,6.82,81,107,1033.43,1.099,26.6,274.86,3.2,33.07,8.76,90.49,0,0,1.38,14.25,0,0,1.38,14.25,0,0,184.37,17.84,72.02,744.33,0.0518,ALL PREY,2.0375,8.1277,ALL MONO,NONE FOUND,ALL PRE 18:1
8Fal19,2,Overgrown,40.30292296,2.807182336,21.04453125,25.45178276,1.603880167,38.6990428,27.08932996,418.344696,230.3903809,16.86670876,13.65947437,29.53585052,20% Legume 80% Grass,40.99029922,7.256882668,33.73341656,2.807182336,2.339318705,0.467863631,19.67418289,34.2793541,504.7058105,33.73341656,9.54E-07,0.467863631,2.22E-16,2.262157679,9.354453087,29.53585052,27.0893,7.24,,,1,,,,,3.41,92.2,2870,133,4.35,74.3,99.4,4527.8,1.448,45,2037.53,9.05,409.63,19.49,882.49,0,0,8.72,395.01,2.61,118.26,6.11,276.76,0.26,11.86,1155.03,25.51,46.01,2083.4,0.1939,0.0058,1.3088,1.9574,15.5082,NONE FOUND,15.485
8Fal19,3,Bottom,57.38701301,5.299643946,26.15588379,35.81911529,0.023180536,57.36383247,40.15468273,683.4483032,615.1062012,24.67809296,24.92519188,48.94234848,60% Legume 40% Grass,57.39694977,8.040761948,49.35618782,5.299643946,4.416369772,0.883274174,39.12734604,136.5877533,81.02833557,49.35618591,0,0.883274174,-3.33E-16,1.311323285,0.461134732,48.94234848,40.1547,4.63,,,1,,,,,12.8,91.1,474,244,31.1,107,127,10261.4,1.521,35.18,3610.07,8.57,879,11.44,1173.8,0,0,17.41,1786.35,1.7,174.6,15.71,1611.75,0.94,96.27,2436.28,23.74,46.47,4768.69,0.4948,0.0267,2.0756,1.6482,13.0318,4.1454,0.6618
8Fal19,4,Longleaf,28.06873739,11.78801765,15.65352173,24.95783992,0.457613111,27.61112428,19.32778699,117.5299835,193.6281586,11.96261978,16.18610001,14.86299038,40% Legume 60% Grass,28.26485825,4.339617729,23.92524052,11.78801765,9.823348045,1.964669609,57.78992844,32.72457123,292.0354004,23.92523956,0,1.964669609,-1.33E-15,5.662324905,3.226393461,14.86299038,19.3278,6.22,,,1,,,,,58.9,59.3,1380,122,5.26,84.1,48.4,3267.98,1.455,36.25,1184.55,4.93,160.98,16.18,528.61,0,0,10,326.72,2.08,68.06,7.91,258.66,0.47,15.4,655.94,20.07,53.28,1741.3,0.2758,0.013,1.2409,2.1417,5.3347,3.4672,1.9872
8Fal19,5,Switch,28.51216507,1.816080856,16.92496719,18.59986115,2.861430645,25.65073442,17.9555141,102.4044571,134.9673004,11.4312191,11.80690384,12.37617302,40% Legume 60% Grass,29.73849297,6.876054287,22.86243868,1.816080856,1.513400668,0.302680188,32.55182648,8.329562187,131.8542023,22.8624382,0,0.302680188,-5.55E-17,1.931442142,3.225286722,12.37617302,17.9555,5.78,,,1,,,,,11.6,63.5,556,75.2,4.64,86.1,56.8,2075.35,1.524,38.38,796.51,7.08,146.99,14.28,296.45,0,0,14.18,294.38,3.47,71.92,10.72,222.46,0.38,7.81,500.05,24.09,47.06,976.65,0.3696,0.0098,1.6868,2.007,10.8534,3.9211,1.9634
8Fal19,6,Burned,36.12598057,1.151507586,18.91229439,21.87575057,0.369631958,35.75634861,25.02944403,251.1988831,193.5253296,15.19885635,12.73288727,23.33316994,20% Legume 80% Grass,36.28439331,5.886681557,30.39771175,1.151507586,0.959589678,0.191917908,30.52738762,13.6213665,124.3216629,30.39771175,9.54E-07,0.191917908,8.33E-17,1.134019494,2.81597209,23.33316994,25.0294,5.89,,,1,,,,,5.6,67.7,569,136,4.13,71.7,40,4268.3,1.471,42.1,1796.81,7.29,311.31,17.31,738.66,0,0,10.14,432.86,2.62,112.01,7.52,320.85,0.41,17.4,1058.15,24.79,47.35,2021.22,0.2409,0.0097,1.4325,1.9759,19.7572,6.7638,3.2627
8Fal19,7,Pasture,83.55694523,584.1364075,66.02455902,465.426859,21.26553478,62.29141045,43.60398731,571.8962402,271.0705261,28.04131889,9.666825294,36.82035446,20% Legume 80% Grass,92.67074585,36.58810806,56.08263779,584.1364075,486.7803513,97.35605621,21.19579697,45.00550079,335.6358643,56.08263779,0,97.35605621,-4.26E-14,383.6365051,5.069928646,36.82035446,43.604,6.5,,,16,,,,,434,258,1430,192,21.3,143,315,6128.12,0.985,35.67,2186.15,0.51,31.45,9.27,568.01,0,0,4.2,257.18,1.97,120.96,2.22,136.22,0,0,1618.13,26.41,60.13,3684.79,0.1176,ALL PREY,2.8488,2.867,19.5,ALL PRE 16:1,ALL PRE 18:1
8Fal19,8,Loblolly,49.67318025,15.02959046,7.233273125,32.92163102,0.241768509,49.43141174,34.60198822,77.16919708,168.0447083,22.95306206,7.321232796,13.37312031,40% Legume 60% Grass,49.77679443,3.870671272,45.90612316,15.02959046,9.168829417,5.860761046,15.13993931,6.399549484,66.6136322,45.90612316,9.54E-07,5.860761046,8.88E-16,30.33778763,3.092628241,13.37312031,34.602,4.75,,,1,,,,,25,25.6,259,44.8,4.27,84.4,42.2,4176.31,1.345,33.59,1402.72,5.36,224.03,9.95,415.68,0,0,6.05,252.78,1.16,48.38,4.89,204.4,0.06,2.35,987.04,23.63,60.3,2518.46,0.1802,0.0017,2.3745,3.5381,12.0091,13.7819,3.1838
9Win20,1,Crop,35.40522513,12.86436048,23.11431427,31.25715238,0.551662534,34.85356259,24.39749382,26.4781971,151.0014496,23.18712425,6.51229763,7.986561298,50% Legume 50% Grass,49.48888779,3.114639997,46.37424779,12.86436048,10.72030058,2.144059896,20.61101532,4.047720432,64.41042328,32.52701187,13.84723663,1.127886724,1.016173172,22.68242836,2.612073183,7.986561298,24.3975,5.77,,,2,9.08,20.9,0.576,0.654,14.2,132,300,60.7,8.09,100,23.7,756.8,1.435,32.61,246.78,7.91,59.84,12.27,92.89,0,0,7.41,56.07,1.07,8.12,6.34,47.95,0,0,153.89,20.33,59.98,453.95,0.2272,ALL PREY,1.6567,3.438,31.6097,NONE FOUND,ALL PRE 18:1
9Win20,2,Overgrown,137.8243559,20.58070698,29.77893677,79.95886511,18.74862938,119.0757265,83.35300856,1048.118774,1010.324707,51.99573135,19.43091583,77.81200409,60% Legume 40% Grass,145.8594818,41.8680191,103.9914627,20.58070698,17.15058842,3.430118561,18.97249222,20.9223938,1115.949585,103.9914627,0,3.430118561,4.44E-16,22.42927361,27.97224617,77.81200409,83.353,7.36,,,2,43.7,10.6,3.86,0.476,11.5,75.4,4450,211,12.3,91.4,206,7142.41,1.417,54.14,3867.24,11.47,819.55,29.37,2097.75,0,0,12.55,896.1,3.98,283.99,8.57,612.11,0,0,1769.48,24.77,33.31,2379.07,0.2317,ALL PREY,0.8435,0.9817,19.1715,ALL PRE 16:1,8.9486
9Win20,3,Bottom,48.78915988,17.1205112,25.7814743,40.5235378,0.705714333,48.08344555,33.65841188,92.3791275,817.130249,41.52348328,19.67875099,29.73286629,60% Legume 40% Grass,94.58370209,11.53673458,83.04696751,19.2395587,16.03296485,3.206593847,64.99796295,300.651123,87.62587738,37.55487442,45.49209213,1.087546352,2.119047496,2.287719488,0.239644736,29.73286629,33.6584,4.85,,,4,390,19.8,5.31,0.791,8.4,76.3,376,218,16.7,108,68.1,3712.66,1.392,42.45,1576,4.93,183.09,21.26,789.34,0,0,12.01,445.82,1.07,39.64,10.94,406.18,0.62,23.18,786.66,21.19,44.92,1667.66,0.2829,0.0147,0.9966,1.0345,17.0054,ALL PRE 16:1,4.6445
9Win20,4,Longleaf,47.42520207,14.20318699,16.90369148,34.82860374,0.674228841,46.75097322,32.72568126,270.8790894,501.1677551,21.54663086,23.2596817,31.5265255,60% Legume 40% Grass,47.7141571,4.620895386,43.09326172,14.20318699,10.2097003,3.993486691,76.16179657,55.73072052,138.1681519,43.09326172,0,3.993486691,-8.88E-16,4.682068825,1.047581434,31.5265255,32.7257,4.49,,,1,144,7.26,1.95,0.282,4.8,38.1,499,62.2,5.64,156,51,2941.13,1.379,36.97,1087.44,3.68,108.23,18.53,544.88,0,0,9.63,283.34,1.29,38.03,8.34,245.32,0.44,13.03,542.56,18.45,52.95,1557.31,0.2606,0.012,0.9957,1.1766,12.9997,NONE FOUND,4.3639
9Win20,5,Switch,24.84341954,10.50032706,16.9922699,23.23489122,1.107272673,23.73614687,16.61530281,74.1607666,146.2585602,11.58524513,12.62455463,11.49977207,40% Legume 60% Grass,25.31796455,2.147474766,23.17048979,10.50032706,8.750272369,1.750054693,49.62778854,14.80164242,115.9714661,23.17048979,4.77E-07,1.750054693,-2.22E-16,7.085829258,1.799976587,11.49977207,16.6153,5.99,,,2,73,4.73,1.16,0.126,6.82,63.9,458,68.1,4.64,75.8,22,1219.91,1.441,39.29,479.35,8.59,104.79,18.05,220.16,0,0,11.65,142.14,1.57,19.12,10.08,123.02,0,0,259.2,21.25,49.05,598.42,0.2965,ALL PREY,1.1773,1.7342,14.8803,NONE FOUND,ALL PRE 18:1
9Win20,6,Burned,43.27449082,11.43660707,20.16570053,32.37341647,0.037425743,43.23706508,30.26594555,501.1945801,244.0961761,19.77001762,12.34678555,31.91865349,20% Legume 80% Grass,43.29053116,3.750495195,39.54003596,11.43660707,10.12705874,1.30954833,45.69245148,14.47132206,266.5397339,39.54003525,0,1.30954833,-6.66E-16,8.264837265,4.43023634,31.91865349,30.2659,6.31,,,1,24.2,10.8,1.15,0.221,3.92,51.2,797,126,4.66,89.2,59.3,2391.79,1.333,42.13,1007.75,2.81,67.24,25.1,600.41,0,0,11.85,283.53,2.11,50.57,9.74,232.96,0.43,10.19,407.34,17.03,45.59,1090.31,0.2814,0.0101,0.6784,1.0023,11.7195,ALL PRE 16:1,ALL PRE 18:1
9Win20,7,Pasture,79.97443099,923.5747986,60.32603302,699.606243,2.981545877,76.99288511,53.89501958,476.2242737,429.4305115,34.80267715,12.33900833,38.52578354,20% Legume 80% Grass,81.25223541,11.64688206,69.60535336,923.5747986,859.1458801,64.42891846,47.72528839,114.7564316,431.7770996,69.60535336,9.54E-07,64.42891846,-8.53E-14,247.1381226,2.657388687,38.52578354,53.895,7.42,,,1,68.2,20.6,21.7,14.6,578,173,1550,238,12.7,156,140,3107.39,1.237,36.6,1137.28,1.84,57.08,16.8,522.07,0,0,6.49,201.59,0.59,18.38,5.9,183.2,0.38,11.79,615.21,19.8,56.53,1756.72,0.1773,0.0104,1.1784,1.5696,5.0288,NONE FOUND,31.6047
9Win20,8,Loblolly,26.1830513,30.2668108,8.619043922,34.67665345,0.518465471,25.66458583,17.96521008,74.12592316,137.8864899,12.29725456,11.21278667,11.4000473,40% Legume 60% Grass,26.40525055,1.810741663,24.59450889,30.2668108,21.97777729,8.289033508,28.16460609,10.88860512,77.86704254,24.59450889,2.38E-07,8.289033508,1.78E-15,33.69628906,1.993870378,11.4000473,17.9652,5.65,,,1,36.4,9.71,2.3,0.149,38.1,31.4,238,42.7,4.41,80,139,2268.91,1.397,42.87,972.73,7.47,169.43,19.52,442.82,0,0,7.53,170.8,1.25,28.4,6.28,142.4,0.34,7.72,529.9,23.36,49.26,1117.65,0.1756,0.0079,1.1966,1.899,11.9639,NONE FOUND,12.5449
